epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.6486,2.2052,4.89114,2.72306,0.27692,0.16246,0.14858,0.06502,4.49447,9.01075,6.44771,0.000544981,0.000544981,0.000544981
2,53.3832,2.42049,1.77115,2.70768,0.06199,0.06992,0.02737,0.00548,7.35159,inf,9.095,0.0010952,0.0010952,0.0010952
3,78.9713,2.40957,1.64205,2.686,0.14626,0.49768,0.12939,0.04613,4.62316,14.8803,5.52442,0.00163992,0.00163992,0.00163992
4,104.486,2.2865,1.49487,2.62971,0.14249,0.23939,0.04619,0.01691,5.33037,69.3667,6.76,0.00164225,0.00164225,0.00164225
5,130.017,2.23973,1.29293,2.59992,0.63301,0.61041,0.66013,0.32072,3.38849,4.61331,4.12971,0.00163399,0.00163399,0.00163399
6,155.364,2.13958,1.18848,2.52333,0.78476,0.69198,0.77952,0.43286,2.97386,3.02572,3.71517,0.00162574,0.00162574,0.00162574
7,180.899,2.04495,1.15383,2.47178,0.54825,0.57748,0.45645,0.26974,2.8967,3.37651,3.57157,0.00161749,0.00161749,0.00161749
8,206.38,2.05272,1.12219,2.48952,0.89287,0.74214,0.84246,0.49269,2.92762,1.6095,3.4971,0.00160924,0.00160924,0.00160924
9,231.905,2.03238,1.02825,2.41938,0.94623,0.83749,0.92806,0.53389,2.80306,1.33144,3.3412,0.00160099,0.00160099,0.00160099
10,257.443,1.92264,0.97633,2.39169,0.60249,0.86242,0.67035,0.38664,2.96576,1.58318,3.47086,0.00159274,0.00159274,0.00159274
11,282.983,1.98916,0.98623,2.41909,0.88239,0.77956,0.8466,0.48689,3.0948,1.66674,3.55504,0.00158448,0.00158448,0.00158448
12,308.475,1.92429,0.95002,2.40769,0.89818,0.87206,0.91531,0.53039,2.90332,1.27411,3.46058,0.00157623,0.00157623,0.00157623
13,333.969,1.93311,0.95428,2.41578,0.84751,0.79124,0.8638,0.47192,3.22938,1.47958,3.58474,0.00156798,0.00156798,0.00156798
14,359.481,1.88485,0.92387,2.38303,0.89407,0.87124,0.9037,0.56108,2.68222,1.12538,3.29416,0.00155973,0.00155973,0.00155973
15,385.021,1.86802,0.90879,2.37019,0.90287,0.81501,0.88839,0.55475,2.74745,1.25017,3.23228,0.00155148,0.00155148,0.00155148
